run,N,M,S,finZ,totIt,timefin,bestat,deadfrac,it99,s2tot,s4tot,s4per1k,stag,pmpeak,pmfin,ccpeak,ccfin,ccdeath,coll,coll_it,tmfin,stag_events
R4,100,3,10,3017.0698,16089,119.9,12936,0.19597240350550066,4650,1300186,4,0.24861706756168808,308,1177,159,,,,59,370,19,308
R4,100,3,20,2936.2542,15953,120.0,13644,0.1447376668965085,8280,1212277,18,1.128314423619382,301,1234,186,,,,115,360,10,301
R4,100,3,30,3286.6487,16255,120.0,11077,0.31854813903414336,7950,1395855,18,1.1073515841279606,310,1229,199,,,,110,400,13,310
R4,100,6,10,5117.1567,8909,119.9,6651,0.25345156583230444,3480,1307005,27,3.0306431698282634,158,1782,381,,,,55,360,37,158
R4,100,6,20,5019.1226,10179,119.9,9742,0.04293152569014638,7420,1328780,30,2.9472443265546713,177,1844,369,,,,229,300,30,177
R4,100,6,30,5313.3696,10077,119.9,7816,0.22437233303562568,3800,1473172,44,4.36637888260395,182,1957,434,,,,62,150,14,182
R4,100,9,10,6824.2051,7544,119.9,6294,0.165694591728526,3400,1420202,47,6.230116648992577,128,2550,495,,,,116,150,31,128
R4,100,9,20,6705.543,7863,119.9,7499,0.046292763576243165,4030,1422197,60,7.630675314765357,130,2596,553,,,,108,170,23,130
R4,100,9,30,7012.5669,7203,119.9,5018,0.30334582812716926,3730,1303560,81,11.245314452311536,123,2690,597,,,,134,170,13,123
R4,150,3,10,3565.3433,20349,239.9,11586,0.4306354120595607,9600,1956879,12,0.5897095680377414,387,1626,246,,,,80,380,18,387
R4,150,3,20,4054.1611,20982,240.0,20614,0.017538842817653225,6410,2064522,12,0.5719187875321705,398,1684,240,,,,83,400,8,398
R4,150,3,30,3752.0508,19630,240.0,18392,0.0630667345899134,2020,1888774,16,0.815078960774325,377,1713,254,,,,220,380,26,377
R4,150,6,10,6163.1157,11698,239.8,10716,0.08394597367071294,7010,2056884,38,3.2484185330825786,209,2230,507,,,,70,140,13,209
R4,150,6,20,6727.0889,12056,239.9,9824,0.18513603185136032,5720,1893062,43,3.566688785666888,210,2451,506,,,,80,380,12,210
R4,150,6,30,6186.9863,11742,240.0,11378,0.030999829671265543,3260,1960239,22,1.8736160790325327,215,2389,524,,,,99,400,25,215
R4,150,9,10,8383.1455,8351,240.0,8083,0.03209196503412765,4420,1771750,52,6.226799185726261,142,2847,731,,,,312,390,23,142
R4,150,9,20,8821.2559,8405,239.8,8099,0.036406900654372396,4320,1645693,101,12.016656751933374,132,3127,766,,,,110,400,23,132
