N,M,S,finZ,totIt,bestat,deadfrac,S1acc,S1g,S2acc,S2strict,S2g,S4acc,S4g,S5acc,S5g,restarts,pmfin
100,3,10,3006.8606,15515,4596,0.703770544634225,465450,28,1476863,9196,490,416,30,2223,98,3,169
100,3,20,2907.3271,15494,10934,0.2943074738608494,464820,25,1409595,9392,376,487,23,2106,65,3,174
100,3,30,3305.6294,15479,10815,0.30131145422830935,464370,36,1381803,5403,293,321,20,1624,76,1,185
100,6,10,5127.2388,10078,9430,0.06429847191903156,302340,39,1806525,4053,639,247,33,1465,114,0,348
100,6,20,4981.665,10450,8003,0.23416267942583732,313500,47,1563360,3889,513,257,18,1400,97,0,373
100,6,30,5298.2217,10605,10056,0.05176803394625177,318150,46,1632388,3985,941,230,48,1507,163,0,407
100,9,10,6786.0254,7733,7494,0.030906504590715117,231990,42,1719288,3634,842,248,41,1691,155,0,576
100,9,20,6716.9854,7796,6798,0.1280143663417137,233880,43,1604738,3565,744,271,36,1740,156,0,536
100,9,30,7121.21,8478,6864,0.19037508846426043,254340,61,1669148,3652,602,302,25,1580,80,0,590
150,3,10,3581.7705,20425,19163,0.06178702570379437,612750,33,2446899,14937,874,588,39,2658,135,3,231
150,3,20,4043.0015,20783,14168,0.31828898619063656,623490,30,2331104,14919,828,558,34,3114,142,3,237
150,3,30,3794.5481,19431,18439,0.051052441974164996,582930,29,2013892,15077,742,579,40,3035,127,3,253
150,6,10,6157.9932,11961,9657,0.1926260346124906,358830,40,2429004,6712,1729,243,78,1758,191,0,525
150,6,20,6690.9688,12027,10035,0.1656273384884011,360810,41,2073156,13113,1292,543,79,3431,218,2,516
150,6,30,6230.9463,11784,8145,0.30880855397148677,353520,40,2129288,6456,986,239,59,1965,158,0,528
150,9,10,8350.0752,8923,6882,0.22873473047181442,267690,57,2252922,6430,2394,297,105,1952,187,0,740
150,9,20,8822.9902,9026,8751,0.030467538222911587,270780,57,2013496,6424,2854,257,119,2207,246,0,733
150,9,30,8267.248,8892,8860,0.003598740440845704,266760,54,2299866,6393,2401,238,97,2242,210,0,782
200,3,10,3816.7183,16051,12840,0.20004984113139368,481530,30,1891804,20587,770,696,34,3078,107,3,312
200,3,20,3906.3735,16075,13408,0.16590979782270607,482250,31,1781502,20721,1069,681,42,3210,157,3,300
200,3,30,4041.7661,15457,12958,0.16167432231351492,463710,36,1748599,16346,444,529,14,2616,86,2,295
200,6,10,6547.8735,8426,8257,0.020056966532162355,252780,43,1807297,9240,1501,315,65,2007,182,0,638
200,6,20,6567.5093,8567,8453,0.01330687521886308,257010,38,1682923,13620,917,471,33,2794,115,1,674
200,6,30,6836.5425,8342,8321,0.0025173819228002875,250260,44,1830369,9003,2107,274,88,2141,214,0,650
200,9,10,8800.0107,5941,5821,0.020198619760983,178230,35,1658955,9000,2601,290,112,2467,248,0,922
200,9,20,8994.6104,5955,4714,0.20839630562552477,178650,52,1736004,9015,3353,327,140,2525,275,0,939
200,9,30,9239.8125,6004,5942,0.010326449033977348,180120,56,1653696,9195,3638,299,147,2553,264,0,973
30,3,10,2140.6768,45958,24248,0.4723878323686844,1378740,17,2653781,5333,62,518,3,3439,31,17,81
30,3,20,2250.5408,49586,17392,0.6492558383414674,1487580,28,2677502,4989,122,473,6,4697,62,16,70
30,3,30,2554.7034,47178,16553,0.6491373097630252,1415340,16,3027822,4352,33,429,1,3826,21,16,92
30,6,10,3383.7703,43546,32970,0.24286960914894595,1306380,31,3037875,2453,72,437,5,3087,34,12,141
30,6,20,3397.2261,47790,18224,0.6186649926762922,1433700,28,3295769,2547,69,456,1,4143,39,13,133
30,6,30,3870.5947,43515,43348,0.00383775709525451,1305450,23,2599451,2627,34,461,2,4060,20,14,155
30,9,10,4228.8472,50000,29292,0.41416,1500000,25,3544900,2588,26,783,3,5260,36,20,150
30,9,20,4063.0259,50000,20804,0.58392,1500000,20,3195199,2454,28,877,1,6121,36,21,161
30,9,30,4643.4302,50000,4637,0.90726,1500000,30,3850624,3074,49,961,3,7181,21,22,189
50,3,10,3178.365,31182,21240,0.3188377910332884,935460,23,2280602,5544,151,403,9,2895,54,6,138
50,3,20,2970.5632,32924,25439,0.22734175677317459,987720,25,2516901,6902,117,507,6,3522,63,8,104
50,3,30,2877.522,32079,14037,0.5624240157112129,962370,20,2184475,8298,200,556,14,3572,59,10,122
50,6,10,4969.4707,25026,24971,0.0021977143770478703,750780,30,2793389,5075,132,648,5,3892,75,7,260
50,6,20,4716.5225,22484,13877,0.3828055506137698,674520,38,2582777,4026,168,523,7,2967,49,5,242
50,6,30,4567.7363,23509,4704,0.7999064188183249,705270,40,2291378,4851,259,556,11,3191,69,6,225
50,9,10,6323.9854,23652,11227,0.5253255538643666,709560,44,3219213,2384,149,404,7,2852,46,4,303
50,9,20,6013.5508,23919,14609,0.38923031899326893,717570,50,3197872,2519,195,580,11,2820,66,4,342
50,9,30,5814.876,20051,12567,0.3732482170465313,601530,47,2408427,2357,284,426,16,2155,74,3,338
