instance,N,M,Seed,S1_prop,S1_acc,S1_gbest,S2_prop,S2_acc,S2_gbest,S4_prop,S4_acc,S4_gbest,S5_prop,S5_acc,S5_gbest,S2_strict,total_prop,S1_prop_share,S2_prop_share,S4_prop_share,S5_prop_share,S1_acc_rate,S2_acc_rate,S4_acc_rate,S5_acc_rate,final_bestZ,best_at_iter,final_iter,final_time_s,iters_per_sec,pm_peak,pm_final,ccrit_peak,restarts,total_prop_per_iter,gain_frac_by_10pct_iters,bestZ_at_iter10pct,incumbent_accepted_jobs,reject_count,reject_frac,incumbent_tardiness,incumbent_revenue,m0_size_final,pm_nstrong_mean,pm_nweak_mean,pm_ncrit_mean,pm_score_min,pm_created_total,pm_deleted_total,distinct_full_min,ham_order_mean_first,ham_order_mean_last,obj_std_first,obj_std_last,best_events_n,gain_frac_first10pct_events,njobs_changed_mean,elite_count,elite_distinct_order,elite_distinct_full,pm_warn_hit,restart_lines
N30_M3_S10,30,3,10,4203900,1401300,17,14043415,2701029,62,274180,518,3,78761177,3439,31,5333,97282672,0.043213245623023186,0.1443567976833531,0.0028183847581818066,0.8096115719354419,0.3333333333333333,0.1923342007624214,0.0018892698227441827,4.3663644081905986e-05,2140.676758,24248.0,46710.0,120.014,389.21,758.0,81.0,317.0,17.0,2082.6947548704775,0.9978166329035187,2134.125488,16.0,14.0,0.4666666666666667,151.65,2648.25,22.0,31.164529914529915,28.28205128205128,9.106837606837606,-257.758148,9683,9602,30,29.0023,28.7126,1460.3738,43.7176,27,0.32008524280380085,22.88888888888889,5,5,5,False,17
N30_M3_S20,30,3,20,4500000,1500000,28,14291188,2700682,122,58884,473,6,75409156,4697,62,4989,94259228,0.04774068380869829,0.1516157972352585,0.0006247027611980866,0.8000188161948452,0.3333333333333333,0.18897533221170976,0.008032742340873582,6.228686606703302e-05,2250.540771,17392.0,50000.0,117.732,424.69,786.0,70.0,329.0,16.0,1885.18456,0.9940408210055766,2234.849121,17.0,13.0,0.43333333333333335,105.14,2538.73,18.0,33.075848303393215,30.67864271457086,9.239520958083832,-312.65506,8853,8783,30,29.0391,28.5885,1421.9649,25.2823,45,0.5898899333406157,21.044444444444444,5,5,5,False,16
N30_M3_S30,30,3,30,4450590,1483530,16,18953072,3078055,33,286675,454,1,69988626,4035,21,4621,93678963,0.04750895886838542,0.20231940441099888,0.003060185454871015,0.7471114512657447,0.3333333333333333,0.16240401556011605,0.0015836748931717102,5.765222480578487e-05,2554.703369,16553.0,49451.0,120.003,412.08,761.0,92.0,279.0,17.0,1894.3795474307901,0.9829342253715772,2527.369629,18.0,12.0,0.4,63.95,2826.05,17.0,35.8,36.84444444444444,7.349494949494949,-308.036377,9411,9319,30,28.977,28.5287,1517.4525,30.2887,25,0.14662712078543438,18.64,5,5,5,False,17
N30_M6_S10,30,6,10,3894390,1298130,31,13503554,3193193,72,574545,413,5,68160133,2876,34,2274,86132622,0.045213879591404986,0.15677630247921628,0.006670469174849919,0.7913393487545288,0.3333333333333333,0.23647056174989192,0.0007188296826184198,4.219475334650535e-05,3383.770264,32970.0,43271.0,120.006,360.57,757.0,130.0,184.0,11.0,1990.539206396894,0.9693552960816376,3331.68335,24.0,6.0,0.2,93.2,3676.25,10.0,47.74364896073903,54.34872979214781,4.625866050808314,-180.946289,5678,5548,30,29.0023,28.554,708.9583,34.8124,42,0.5277157982954761,21.285714285714285,5,5,5,False,11
N30_M6_S20,30,6,20,4266450,1422150,28,13168468,3263751,69,618422,456,1,63215365,4143,39,2547,81268705,0.05249806798324152,0.16203614909330719,0.007609595846273175,0.7778561870771781,0.3333333333333333,0.2478459149538124,0.0007373605725540165,6.553786409364243e-05,3397.226074,18224.0,47405.0,120.002,395.03,791.0,133.0,173.0,13.0,1714.3488028688957,0.981820895228191,3366.920166,27.0,3.0,0.1,99.22,3722.79,10.0,51.52,56.56,3.738947368421053,-195.075073,7172,7039,30,29.0391,28.5011,871.8466,29.1053,44,0.4909669028364247,22.09090909090909,5,5,5,False,13
N30_M6_S30,30,6,30,4015800,1338600,23,14636900,2687218,34,907086,461,2,71615224,4060,20,2627,91175010,0.04404496363641748,0.1605363136236563,0.00994884453536117,0.785469878204565,0.3333333333333333,0.18359201743538592,0.000508220830218965,5.6691856468954145e-05,3870.594727,43348.0,44620.0,120.015,371.79,775.0,155.0,157.0,14.0,2043.3664276109369,0.9771464675497872,3843.954834,25.0,5.0,0.16666666666666666,23.52,3947.28,9.0,55.391498881431765,64.0738255033557,4.082774049217003,-195.717514,7086,6931,30,28.977,28.5954,913.4741,30.8004,41,0.46023549856775986,20.951219512195124,5,5,5,False,14
N30_M9_S10,30,9,10,4500000,1500000,25,12210260,3544900,26,996103,783,3,40014677,5260,36,2588,57721040,0.07796117325675352,0.21153915452666827,0.0172571907921271,0.6932424814244511,0.3333333333333333,0.2903214182171387,0.0007860632886358137,0.00013145176706037137,4228.847168,29292.0,50000.0,108.67,460.11,751.0,150.0,99.0,20.0,1154.4208,0.9865733700832314,4213.364746,30.0,0.0,0.0,53.7,4405.05,3.0,56.50898203592814,65.05788423153693,3.75249500998004,-194.578217,8366,8216,30,29.0023,28.508,646.835,33.3284,43,0.26260477381334535,19.813953488372093,5,5,5,False,20
N30_M9_S20,30,9,20,4500000,1500000,20,10475881,3153461,28,1517895,908,1,37279162,6395,36,2555,53772938,0.08368521727416121,0.19481697280516827,0.02822786063874732,0.6932699492819232,0.3333333333333333,0.30102107879995965,0.0005981968449728077,0.0001715435556196247,4063.025879,20804.0,50000.0,97.241,514.19,764.0,180.0,96.0,22.0,1075.45876,0.9911990212125598,4053.141602,30.0,0.0,0.0,6.03,4081.78,3.0,60.95409181636727,74.35528942115768,2.499001996007984,-163.52655,10868,10688,30,29.0391,28.6437,507.0852,33.2253,37,0.15671420932174782,22.27027027027027,5,3,3,False,22
N30_M9_S30,30,9,30,4500000,1500000,30,12658188,3850624,49,1875133,961,3,34874265,7181,21,3074,53907586,0.08347619201497912,0.2348127404554899,0.03478421385813863,0.6469268536713924,0.3333333333333333,0.3042002536223984,0.0005124969802142035,0.00020591114966867402,4643.430176,4637.0,50000.0,99.213,503.96,765.0,189.0,82.0,22.0,1078.15172,1.0,4643.430176,30.0,0.0,0.0,3.72,4658.57,1.0,62.21756487025948,80.11776447105788,2.656686626746507,-98.269341,10829,10640,30,28.977,28.5747,682.5962,21.5151,49,0.44237022662964626,20.775510204081634,5,5,5,False,22
N50_M3_S10,50,3,10,2846340,948780,23,12569986,2298340,151,173120,445,9,98909152,3265,54,6257,114498598,0.024859169017947276,0.10978288135894904,0.0015119835790478413,0.8638459660440558,0.3333333333333333,0.18284348128947797,0.00257047134935305,3.30100899055327e-05,3178.36499,21240.0,31626.0,120.008,263.53,1932.0,132.0,992.0,7.0,3620.394548788971,0.9939933591918028,3112.678711,22.0,28.0,0.56,151.7,3628.47,35.0,47.72555205047318,56.07570977917981,17.230283911671926,-611.189453,10881,10749,30,49.0253,48.5494,2783.2149,41.0651,49,0.6933584565614352,34.0,5,1,1,False,7
