instance,N,M,Seed,iters_per_sec,end_time,max_iter_cap,final_time_s,final_cpu_s,final_bestZ,best_at_iter,final_iter,pm_peak,pm_final,ccrit_peak,ccrit_zero_iter,distinct_first,distinct_last,total_best_events,restarts,s1acc_cum,s2acc_cum,s2strict_cum,s4acc_cum,s5acc_cum,s1g_cum,s2g_cum,s4g_cum,s5g_cum,pm_size,stop_reason,time_to_best_frac,dead_tail_frac,s2_accepts_per_iter,s2_sideways_frac,s1_accepts_per_iter,s4_accepts_per_run,s5_accepts_per_run,pm_churn,ms_per_iter
N30_M3_S10,30,3,10,389.21,120.0,50000.0,120.014,120.007,2140.676758,24248.0,46710.0,758.0,81.0,317.0,400.0,30.0,30.0,27.0,17.0,1401300.0,2701029.0,5333.0,518.0,3439.0,17.0,62.0,3.0,31.0,81.0,TIME,0.5191179618925283,0.48088203810747165,57.82549775208735,0.9980255672930576,30.0,518.0,3439.0,9.358024691358025,2.5693070578864883
N30_M3_S20,30,3,20,424.69,120.0,50000.0,117.732,117.724,2250.540771,17392.0,50000.0,786.0,70.0,329.0,300.0,30.0,30.0,45.0,16.0,1500000.0,2700682.0,4989.0,473.0,4697.0,28.0,122.0,6.0,62.0,70.0,TIME,0.34784,0.6521600000000001,54.01364,0.9981526888393376,30.0,473.0,4697.0,11.228571428571428,2.3546586922225625
N30_M3_S30,30,3,30,412.08,120.0,50000.0,120.003,120.0,2554.703369,16553.0,49451.0,761.0,92.0,279.0,300.0,30.0,30.0,25.0,17.0,1483500.0,3077982.0,4621.0,454.0,4035.0,16.0,33.0,1.0,21.0,92.0,TIME,0.3347353946330711,0.6652646053669289,62.243068896483386,0.99849869167526,29.999393338860692,454.0,4035.0,8.271739130434783,2.42671325956125
N30_M6_S10,30,6,10,360.57,120.0,50000.0,120.006,120.003,3383.770264,32970.0,43271.0,757.0,130.0,184.0,200.0,30.0,30.0,42.0,11.0,1298100.0,3193107.0,2274.0,413.0,2876.0,31.0,72.0,5.0,34.0,130.0,TIME,0.7619421783642625,0.23805782163573752,73.79323334334774,0.9992878409649285,29.999306695015136,413.0,2876.0,5.823076923076923,2.7733865823557147
N30_M6_S20,30,6,20,395.03,120.0,50000.0,120.002,120.002,3397.226074,18224.0,47405.0,791.0,133.0,173.0,400.0,30.0,30.0,44.0,13.0,1422000.0,3263309.0,2547.0,456.0,4143.0,28.0,69.0,1.0,39.0,133.0,TIME,0.3844320219386141,0.6155679780613859,68.83891994515346,0.9992195038839411,29.99683577681679,456.0,4143.0,5.947368421052632,2.5314533073437464
N30_M6_S30,30,6,30,371.79,120.0,50000.0,120.015,120.014,3870.594727,43348.0,44620.0,775.0,155.0,157.0,500.0,30.0,30.0,41.0,14.0,1338600.0,2687218.0,2627.0,461.0,4060.0,23.0,34.0,2.0,20.0,155.0,TIME,0.9714926042133573,0.028507395786642742,60.22451815329449,0.9990224090490611,30.0,461.0,4060.0,5.0,2.6896904166330455
N30_M9_S10,30,9,10,460.11,120.0,50000.0,108.67,108.677,4228.847168,29292.0,50000.0,751.0,150.0,99.0,200.0,30.0,30.0,43.0,20.0,1500000.0,3544900.0,2588.0,783.0,5260.0,25.0,26.0,3.0,36.0,150.0,ITER,0.58584,0.41416,70.898,0.9992699370927247,30.0,783.0,5260.0,5.006666666666667,2.1733933189889374
N30_M9_S20,30,9,20,514.19,120.0,50000.0,97.241,97.235,4063.025879,20804.0,50000.0,764.0,180.0,96.0,200.0,30.0,30.0,37.0,22.0,1500000.0,3153461.0,2555.0,908.0,6395.0,20.0,28.0,1.0,36.0,180.0,ITER,0.41608,0.58392,63.06922,0.9991897791030236,30.0,908.0,6395.0,4.2444444444444445,1.944806394523425
N30_M9_S30,30,9,30,503.96,120.0,50000.0,99.213,99.202,4643.430176,4637.0,50000.0,765.0,189.0,82.0,200.0,30.0,30.0,49.0,22.0,1500000.0,3850624.0,3074.0,961.0,7181.0,30.0,49.0,3.0,21.0,189.0,ITER,0.09274,0.90726,77.01248,0.999201687830336,30.0,961.0,7181.0,4.0476190476190474,1.9842844670211923
N50_M3_S10,50,3,10,263.53,120.0,50000.0,120.008,120.005,3178.36499,21240.0,31626.0,1932.0,132.0,992.0,300.0,30.0,30.0,49.0,7.0,948600.0,2297820.0,6257.0,445.0,3265.0,23.0,151.0,9.0,54.0,132.0,TIME,0.6715993170176437,0.32840068298235625,72.65604249667994,0.9972769842720491,29.994308480364257,445.0,3265.0,14.636363636363637,3.7946343869768153
N50_M3_S20,50,3,20,274.02,120.0,50000.0,120.015,120.011,2970.563232,25439.0,32887.0,1879.0,104.0,982.0,300.0,30.0,30.0,50.0,8.0,986400.0,2513243.0,6902.0,507.0,3522.0,25.0,117.0,6.0,63.0,104.0,TIME,0.7735275336759205,0.22647246632407947,76.42056131602153,0.9972537474490131,29.99361449812996,507.0,3522.0,18.067307692307693,3.6493686592219547
N50_M3_S30,50,3,30,268.3,120.0,50000.0,120.014,120.005,2877.521973,14037.0,32200.0,1893.0,122.0,1006.0,300.0,30.0,30.0,32.0,10.0,966000.0,2193680.0,8298.0,556.0,3572.0,20.0,200.0,14.0,59.0,122.0,TIME,0.43593167701863356,0.5640683229813664,68.12670807453416,0.9962173151963823,30.0,556.0,3572.0,15.51639344262295,3.727171077152441
N50_M6_S10,50,6,10,206.24,120.0,50000.0,120.0,120.003,4952.306641,17157.0,24749.0,1903.0,260.0,689.0,400.0,30.0,30.0,56.0,7.0,742200.0,2756655.0,5074.0,648.0,3892.0,28.0,128.0,5.0,75.0,260.0,TIME,0.6932401309143804,0.3067598690856196,111.38450038385389,0.9981593634314051,29.98909046830175,648.0,3892.0,7.319230769230769,4.848719937936385
N50_M6_S20,50,6,20,201.65,120.0,50000.0,120.012,120.01,4716.522461,13877.0,24201.0,1899.0,239.0,691.0,300.0,30.0,30.0,58.0,6.0,726000.0,2703956.0,4547.0,608.0,3356.0,38.0,168.0,7.0,49.0,239.0,TIME,0.5734060576009256,0.42659394239907444,111.72910210321888,0.9983183897962836,29.998760381802406,608.0,3356.0,7.945606694560669,4.959087527894868
N50_M6_S30,50,6,30,207.91,120.0,50000.0,120.015,120.012,4567.736328,4704.0,24952.0,1910.0,219.0,777.0,400.0,30.0,30.0,66.0,7.0,748500.0,2411301.0,5450.0,622.0,3587.0,40.0,259.0,11.0,69.0,219.0,TIME,0.18852196216736133,0.8114780378326387,96.63758416159025,0.9977398093394396,29.99759538313562,622.0,3587.0,8.721461187214611,4.809773459670049
N50_M9_S10,50,9,10,195.76,120.0,50000.0,120.022,120.014,6323.985352,11227.0,23495.0,1897.0,305.0,483.0,300.0,30.0,30.0,65.0,4.0,704700.0,3195081.0,2384.0,404.0,2852.0,44.0,149.0,7.0,46.0,305.0,TIME,0.47784635028729516,0.5221536497127048,135.9898276228985,0.9992538530322079,29.993615662907,404.0,2852.0,6.219672131147541,5.108295872496935
N50_M9_S20,50,9,20,207.62,120.0,50000.0,120.015,120.009,6013.550781,14609.0,24917.0,1849.0,339.0,489.0,500.0,30.0,30.0,84.0,4.0,747300.0,3344738.0,2520.0,580.0,2820.0,50.0,195.0,11.0,66.0,339.0,TIME,0.5863065377051812,0.41369346229481885,134.23518080025684,0.9992465777588558,29.991572019103423,580.0,2820.0,5.454277286135693,4.816491667469415
N50_M9_S30,50,9,30,204.18,120.0,50000.0,119.989,120.001,5827.876465,23716.0,24500.0,1881.0,328.0,587.0,500.0,30.0,30.0,75.0,5.0,735000.0,2799126.0,3287.0,626.0,2941.0,51.0,301.0,16.0,74.0,328.0,TIME,0.968,0.03200000000000003,114.25004081632653,0.9988257048807377,30.0,626.0,2941.0,5.734756097560975,4.897639337839161
N100_M3_S10,100,3,10,136.58,300.0,20000.0,146.437,146.432,3053.804688,18335.0,20000.0,5880.0,170.0,3867.0,500.0,30.0,30.0,65.0,5.0,600000.0,1918694.0,12982.0,586.0,3080.0,30.0,497.0,31.0,99.0,170.0,ITER,0.91675,0.08325000000000005,95.9347,0.993233939335819,30.0,586.0,3080.0,34.588235294117645,7.321716210279689
N100_M3_S20,100,3,20,142.51,300.0,20000.0,140.336,140.321,2921.281006,14078.0,20000.0,5886.0,160.0,3872.0,500.0,30.0,30.0,63.0,6.0,600000.0,1725704.0,15068.0,741.0,3323.0,27.0,384.0,23.0,66.0,160.0,ITER,0.7039,0.29610000000000003,86.2852,0.9912684910042511,30.0,741.0,3323.0,36.7875,7.017051434987019
N100_M3_S30,100,3,30,139.01,300.0,20000.0,143.875,143.864,3305.629395,10815.0,20000.0,5790.0,186.0,3726.0,300.0,30.0,30.0,68.0,5.0,600000.0,1743489.0,12770.0,648.0,3522.0,36.0,293.0,20.0,76.0,186.0,ITER,0.54075,0.45925000000000005,87.17445,0.9926756062126001,30.0,648.0,3522.0,31.129032258064516,7.1937270699949645
N100_M6_S10,100,6,10,83.85,300.0,20000.0,238.514,238.505,5172.055664,18670.0,20000.0,6024.0,364.0,3498.0,800.0,30.0,30.0,91.0,2.0,600000.0,3563031.0,7989.0,449.0,2721.0,43.0,662.0,33.0,115.0,364.0,ITER,0.9335,0.0665,178.15155,0.9977578078888452,30.0,449.0,2721.0,16.54945054945055,11.926058437686345
