N,M,Seed,BestZ,Iterations,TimeUsed,BestAtIter,S2Repairs,S4Phase1Hits,StagnationResets
30,3,10,2119.8674,2500,14.56,965,122457,9,43
30,3,20,2212.1675,2500,13.69,1959,122219,20,44
30,3,30,2504.2065,2500,13.79,1072,143435,17,45
30,6,10,3329.5232,2500,14.15,1261,175329,31,39
30,6,20,3362.2019,2500,13.67,1867,168577,45,40
30,6,30,3845.0718,2500,14.72,1896,147751,70,38
30,9,10,4180.2754,2500,12.12,2497,177133,60,36
30,9,20,4047.5359,2500,10.94,2470,224862,83,42
30,9,30,4643.4302,2500,9.35,1155,218781,61,41
50,3,10,3087.5173,2500,23.76,2329,150500,27,41
50,3,20,2915.0081,2500,20.67,871,166551,15,45
50,3,30,2856.4678,2500,23.31,1295,128684,11,41
50,6,10,4940.7490,2500,30.62,2375,241605,53,38
50,6,20,4638.7910,2500,27.87,2239,273127,65,40
50,6,30,4476.5073,2500,28.90,2108,206789,63,38
50,9,10,6259.6470,2500,25.81,2400,281829,92,33
50,9,20,5918.4458,2500,27.90,2319,299046,130,37
50,9,30,5736.3662,2500,27.88,2338,264437,97,35
100,3,10,2951.2114,2500,40.85,2377,156658,9,36
100,3,20,2862.0042,2500,41.94,2386,145595,20,37
100,3,30,3247.7869,2500,42.96,2300,158452,14,39
100,6,10,4963.5103,2500,73.63,1522,304661,30,35
100,6,20,4864.1123,2500,69.97,2451,277893,49,31
100,6,30,5184.4712,2500,67.94,2193,256182,34,34
100,9,10,6698.0977,2500,87.57,2494,400057,57,31
100,9,20,6569.1914,2500,92.78,2425,364289,54,27
100,9,30,6898.7559,2500,91.47,2359,361878,63,26
150,3,10,3409.8884,2500,64.96,2234,163827,16,35
150,3,20,3884.2810,2500,63.32,2366,149464,8,32
150,3,30,3706.6643,2500,66.66,2156,143841,15,28
150,6,10,5921.6831,2500,115.58,2388,268048,24,24
150,6,20,6458.7168,2500,113.62,2455,253008,58,27
150,6,30,6061.7886,2500,111.79,2455,264559,40,24
150,9,10,7963.7959,2137,120.03,2004,291094,58,20
150,9,20,8463.8848,2041,120.02,1891,247302,77,21
150,9,30,7927.8740,2158,120.00,2094,302869,56,23
200,3,10,3647.8337,2500,86.49,2473,138810,16,30
200,3,20,3640.8152,2500,82.11,2413,124682,14,26
200,3,30,3893.7429,2500,84.38,2156,140200,6,28
200,6,10,6188.7739,2018,120.03,1464,149869,17,19
200,6,20,6376.1382,2112,120.05,1851,167471,37,19
200,6,30,6599.9644,2017,120.04,1680,157972,18,13
200,9,10,8317.8623,1514,120.07,1473,97931,52,5
200,9,20,8297.4609,1517,120.03,1381,95744,56,4
200,9,30,8650.6221,1447,120.04,1395,93494,24,5
