N,M,Seed,BestZ,Iterations,TimeUsed,BestAtIter,S2Repairs,S4Phase1Hits,StagnationResets
30,3,10,2228.4761,10000,25.24,1583,577724,37,94
30,3,20,2250.5408,10000,26.12,3477,505237,46,92
30,3,30,3042.9487,10000,25.93,6686,578250,29,92
30,6,10,3355.9690,10000,28.20,1747,564658,74,90
30,6,20,3481.7095,10000,28.03,8982,791140,90,88
30,6,30,3916.2551,10000,28.39,4268,697012,97,92
30,9,10,4339.4795,10000,24.73,1681,1001081,107,93
30,9,20,4153.5322,10000,26.03,3158,857631,131,90
30,9,30,4762.2202,10000,23.12,3501,1115272,111,90
50,3,10,3149.4478,10000,41.11,4740,748392,21,93
50,3,20,3031.5830,10000,40.96,7555,693901,29,89
50,3,30,2851.2217,10000,39.78,1902,583029,31,88
50,6,10,4963.4629,10000,52.43,8392,1072722,113,84
50,6,20,4800.4053,10000,53.52,6970,1179216,149,90
50,6,30,4632.4858,10000,54.38,9266,901455,125,81
50,9,10,6739.9927,10000,58.72,8106,1288532,208,84
50,9,20,6091.7568,10000,55.97,9827,1411275,267,82
50,9,30,6186.3066,10000,53.53,9797,1112900,209,84
100,3,10,2952.8557,2500,18.95,1919,158376,10,38
100,3,20,2768.3049,2500,19.06,1146,158170,32,40
100,3,30,3221.1587,2500,19.02,2346,154582,29,37
100,6,10,5005.4756,2500,31.98,2017,274439,52,34
100,6,20,5331.6978,2500,31.55,2297,262329,80,31
100,6,30,5235.8984,2500,31.46,2474,265229,66,31
100,9,10,6800.1689,2500,45.42,2431,418970,152,36
100,9,20,6761.4160,2500,39.91,2479,373637,104,34
100,9,30,6908.7749,2500,39.96,2357,357951,112,30
150,3,10,3362.8738,2500,28.65,2051,150967,30,33
150,3,20,3929.8574,2500,29.06,1854,143113,39,31
150,3,30,3664.5435,2500,29.12,1544,151263,23,37
150,6,10,5884.7827,2500,48.99,2334,269356,67,33
150,6,20,6425.8408,2500,48.69,1894,237076,109,29
150,6,30,6111.1699,2500,49.71,2023,280706,84,29
150,9,10,8025.4932,2500,68.19,2462,381699,128,20
150,9,20,8557.1133,2500,67.14,2447,339456,141,30
150,9,30,8015.9824,2500,67.29,2224,380791,131,29
200,3,10,3617.4380,2500,38.32,1725,130396,38,30
200,3,20,3721.3340,2500,38.39,2488,129281,44,28
200,3,30,3792.0144,2500,40.59,1982,137542,30,31
200,6,10,6271.9380,2500,70.41,2287,226775,95,21
200,6,20,6380.4644,2500,65.79,2464,221307,93,22
200,6,30,6554.5239,2500,66.18,2488,245429,48,24
200,9,10,8605.8906,2500,93.27,2401,313753,121,19
200,9,20,8664.6660,2500,92.37,2096,305839,146,19
200,9,30,8951.7812,2500,93.12,2412,336052,78,20
