N,M,Seed,BestZ,Iterations,TimeUsed,BestAtIter,S2Repairs,S4Phase1Hits,StagnationResets
30,3,10,2132.80,41395,120.0,544,2455861,15,410
30,3,20,2233.52,41773,120.0,1887,2383099,10,409
30,3,30,2538.64,39020,120.0,6518,2773469,27,385
30,6,10,3340.21,37460,120.0,1736,2836165,47,368
30,6,20,3363.80,38082,120.0,9442,3114301,46,371
30,6,30,3861.84,40628,120.0,2563,3007112,35,397
30,9,10,4207.77,40663,120.0,4941,3427859,44,398
30,9,20,4056.15,50000,118.8,3639,5354080,51,494
30,9,30,4643.43,44385,120.0,1316,4589062,36,437
50,3,10,3165.87,26876,120.0,20672,2177344,21,262
50,3,20,2942.86,31388,120.0,15708,2452239,15,303
50,3,30,2891.14,26979,120.0,19754,1966641,24,264
50,6,10,4974.38,21853,120.0,10721,2693507,56,205
50,6,20,4709.71,22425,120.0,4543,2572983,54,213
50,6,30,4580.24,22460,120.0,21282,2378511,54,206
50,9,10,6284.09,20702,120.0,4051,2806268,95,192
50,9,20,6045.97,21196,120.0,18697,2993439,107,198
50,9,30,5824.23,19818,120.0,13485,2535086,81,180
100,3,10,3017.07,15229,120.0,12936,1234089,4,290
100,3,20,2936.25,15748,120.0,13644,1197704,18,297
100,3,30,3286.65,14992,120.0,11077,1281380,18,285
100,6,10,5117.16,8784,120.0,6651,1287316,27,155
100,6,20,4989.05,9517,120.0,8333,1237209,30,165
100,6,30,5313.37,9050,120.0,7816,1313467,44,161
100,9,10,6824.21,6798,120.0,6294,1265997,47,113
100,9,20,6686.75,7409,120.0,7369,1336708,60,121
100,9,30,7012.57,7333,120.0,5018,1328210,81,126
150,3,10,3565.34,19431,240.0,11586,1860951,12,368
150,3,20,4037.53,20269,240.0,18889,1993944,12,385
150,3,30,3752.05,18866,240.0,18392,1812581,16,362
150,6,10,6163.12,11137,240.0,10716,1955500,38,198
150,6,20,6727.09,11439,240.0,9824,1790041,43,198
150,6,30,6176.23,11094,240.0,8737,1856861,22,204
150,9,10,8374.79,7992,240.0,6680,1689002,52,135
150,9,20,8804.30,7953,240.0,7820,1542477,101,124
150,9,30,8220.75,7937,240.0,7190,1801441,56,133
200,3,10,3795.47,14834,240.0,7608,1411241,18,281
200,3,20,3845.58,15007,240.0,13637,1426680,15,282
200,3,30,4043.61,14674,240.0,12732,1418518,12,271
200,6,10,6535.35,7902,240.0,7262,1331070,31,134
200,6,20,6575.51,8160,240.0,7089,1244869,49,136
200,6,30,6843.57,7888,240.0,7609,1269226,22,136
200,9,10,8835.26,5418,240.0,5402,1112529,62,80
200,9,20,8952.99,5634,240.0,5373,1174130,66,78
200,9,30,9278.40,5558,240.0,4876,1170941,71,82
