N,M,Seed,BestZ,Iterations,TimeUsed,BestAtIter,S2Repairs,S4Phase1Hits,StagnationResets
30,3,10,2118.4080,46393,120.00,1151,2971111,67,460
30,3,20,2250.5408,43464,120.01,6337,2621150,60,428
30,3,30,2540.0464,44207,120.00,30255,3078080,57,436
30,6,10,3336.2200,41239,120.00,1260,2998041,74,405
30,6,20,3384.7371,39619,120.00,5286,2849097,62,389
30,6,30,3857.8403,38288,120.01,1426,3421759,62,376
30,9,10,4199.5249,47272,120.00,2803,4685307,52,466
30,9,20,4059.0916,43530,120.01,6610,4291641,56,427
30,9,30,4643.4297,39807,120.00,674,4494335,71,395
50,3,10,3175.6909,27441,120.01,11659,2484347,109,263
50,3,20,2953.7456,30770,120.00,3423,2619418,124,300
50,3,30,2881.2261,30892,120.01,17590,2358047,106,303
50,6,10,4972.1260,21195,120.01,3311,2789971,141,203
50,6,20,4715.4443,23356,120.00,13993,3071583,155,222
50,6,30,4584.5933,21873,120.00,4502,2392445,174,205
50,9,10,6286.5273,20059,120.01,12191,2852807,124,186
50,9,20,6016.0996,21313,120.01,20503,3146359,184,198
50,9,30,5813.2095,22005,120.00,20975,2678141,193,206
100,3,10,2997.6602,16599,120.01,7835,1831871,183,322
100,3,20,2971.1382,15868,120.01,8492,1610467,227,307
100,3,30,3267.2773,16066,120.00,3875,1649758,215,312
100,6,10,5158.0522,9528,120.00,9112,1683722,254,181
100,6,20,4968.0146,9813,120.02,8862,1586594,246,178
100,6,30,5306.9526,9605,120.01,7785,1537210,223,181
100,9,10,6793.2700,7522,120.01,7243,1688007,280,133
100,9,20,6732.8169,7386,120.02,7016,1482620,302,129
100,9,30,7047.7524,7689,120.01,7058,1584046,294,126
150,3,10,3546.3755,20271,240.00,19020,2751112,218,392
150,3,20,4018.3789,20726,240.01,15406,2512905,215,405
150,3,30,3784.1514,19101,240.01,15099,2146087,212,371
150,6,10,6190.3325,11449,240.01,11350,2292740,267,214
150,6,20,6662.5024,11573,240.01,10724,2261673,245,217
150,6,30,6251.8408,11010,240.02,10826,1917688,261,195
150,9,10,8341.5693,8169,240.00,7639,2147874,298,141
150,9,20,8838.4102,8295,240.02,6906,1868238,255,142
150,9,30,8262.0615,8192,240.01,7317,2149414,287,141
200,3,10,3848.0789,14648,240.01,13724,1877497,262,281
200,3,20,3857.3770,15591,240.00,13714,1853285,259,298
200,3,30,3987.7544,14967,240.00,14806,1858327,247,290
200,6,10,6527.8018,8367,240.00,7537,1789098,295,149
200,6,20,6571.2349,8336,240.00,5787,1732943,301,148
200,6,30,6869.5957,8256,240.02,7005,1894737,282,150
200,9,10,8805.3584,5749,240.02,5631,1711473,321,100
200,9,20,8868.4424,5857,240.03,4978,1679519,355,98
200,9,30,9302.6611,5706,240.04,5478,1631550,322,96
