N,M,Seed,BestZ,Iterations,TimeUsed,BestAtIter,S2Repairs,S4Phase1Hits,StagnationResets
30,3,10,2140.6768,45958,120.01,24248,2653781,518,17
30,3,20,2250.5408,49586,120.00,17392,2677502,473,16
30,3,30,2554.7034,47178,120.00,16553,3027822,429,16
30,6,10,3383.7703,43546,120.00,32970,3037875,437,12
30,6,20,3397.2261,47790,120.01,18224,3295769,456,13
30,6,30,3870.5947,43515,120.00,43348,2599451,461,14
30,9,10,4228.8472,50000,109.23,29292,3544900,783,20
30,9,20,4063.0259,50000,102.20,20804,3195199,877,21
30,9,30,4643.4302,50000,102.62,4637,3850624,961,22
50,3,10,3178.3650,31182,120.00,21240,2280602,403,6
50,3,20,2970.5632,32924,120.00,25439,2516901,507,8
50,3,30,2877.5220,32079,120.00,14037,2184475,556,10
50,6,10,4969.4707,25026,120.00,24971,2793389,648,7
50,6,20,4716.5225,22484,120.00,13877,2582777,523,5
50,6,30,4567.7363,23509,120.00,4704,2291378,556,6
50,9,10,6323.9854,23652,120.01,11227,3219213,404,4
50,9,20,6013.5508,23919,120.00,14609,3197872,580,4
50,9,30,5814.8760,20051,120.00,12567,2408427,426,3
100,3,10,3006.8606,15515,120.01,4596,1476863,416,3
100,3,20,2907.3271,15494,120.00,10934,1409595,487,3
100,3,30,3305.6294,15479,120.00,10815,1381803,321,1
100,6,10,5127.2388,10078,120.01,9430,1806525,247,0
100,6,20,4981.6650,10450,120.00,8003,1563360,257,0
100,6,30,5298.2217,10605,120.01,10056,1632388,230,0
100,9,10,6786.0254,7733,120.00,7494,1719288,248,0
100,9,20,6716.9854,7796,120.01,6798,1604738,271,0
100,9,30,7121.2100,8478,120.00,6864,1669148,302,0
150,3,10,3581.7705,20425,240.01,19163,2446899,588,3
150,3,20,4043.0015,20783,240.00,14168,2331104,558,3
150,3,30,3794.5481,19431,240.00,18439,2013892,579,3
150,6,10,6157.9932,11961,240.03,9657,2429004,243,0
150,6,20,6690.9688,12027,240.01,10035,2073156,543,2
150,6,30,6230.9463,11784,240.01,8145,2129288,239,0
150,9,10,8350.0752,8923,240.00,6882,2252922,297,0
150,9,20,8822.9902,9026,240.00,8751,2013496,257,0
150,9,30,8267.2480,8892,240.00,8860,2299866,238,0
200,3,10,3816.7183,16051,240.00,12840,1891804,696,3
200,3,20,3906.3735,16075,240.00,13408,1781502,681,3
200,3,30,4041.7661,15457,240.00,12958,1748599,529,2
200,6,10,6547.8735,8426,240.00,8257,1807297,315,0
200,6,20,6567.5093,8567,240.03,8453,1682923,471,1
200,6,30,6836.5425,8342,240.01,8321,1830369,274,0
200,9,10,8800.0107,5941,240.00,5821,1658955,290,0
200,9,20,8994.6104,5955,240.02,4714,1736004,327,0
200,9,30,9239.8125,6004,240.01,5942,1653696,299,0
